遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M78","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M80","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M83","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M84","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M62","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M69","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M61","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M58","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M71","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M73","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M74","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M82","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"徐家碾寺洼文化墓地","REL_UNIT_TYPE","类型为","M81","遗迹编号","墓葬","遗迹类型",11,0.65," #36 平、剖面图 BMS}. We 墓葬 M81 平、剖面图 形墓穴”M85 平"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","K871","遗迹编号",4,0.7,"e 8. 新石器时代考古-中国“ NN.K871.13 中国版本图书馆 CIP 数据核字"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","K871","遗迹编号","饰","ocr",4,0.6,"e 8. 新石器时代考古-中国“ NN.K871.13 中国版本图书馆 CIP 数据核字 遗物，特别"
"敖汉赵宝沟","REL_SITE_ERA","年代为","敖汉赵宝沟","遗址名称","新石器时代","年代",4,0.5," IR OS 遗址的发气报告, 中址略于新石器时代晚期, 年代距今约 6800 年。该聚落"
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","K871","遗迹编号","房址","遗迹类型",4,0.65,"约 9 万平方米，发现 80 余座半地穴房址,清理了 17 座房址、1 个 灶址，5"
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","K871","遗迹编号","灶址","遗迹类型",4,0.65,"地穴房址,清理了 17 座房址、1 个 灶址，5 个其坑和 1 处石头维和址迹，获得"
"敖汉赵宝沟","REL_MEASUREMENT","测量为","K871","遗迹编号"," 787 毫米","测量数据",4,0.55," 1997年11 月第1次印刷 FRR, 787 毫米X1092毫米 1/16 印张, 16."
"敖汉赵宝沟","REL_MEASUREMENT","测量为","K871","遗迹编号","1092毫米","测量数据",4,0.55," 月第1次印刷 FRR, 787 毫米X1092毫米 1/16 印张, 16.75 捅页，5"
"敖汉赵宝沟","REL_SITE_ERA","年代为","敖汉赵宝沟","遗址名称","新石器时代","年代",6,0.5,"新右器时代罕落}发掘报告,是我国北方地区新石器时代攻击年天人 它全面而系统地报道了考古所内"
"敖汉赵宝沟","REL_SITE_ERA","年代为","敖汉赵宝沟","遗址名称","红山","年代",6,0.5,"具有开拓意义。因其年代跨度、地域分布与 红山文化有交错，将对内蒙古长城地带的传统认识"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","F103","遗迹编号",14,0.7,"最 彩2 一区F6 踪迹  彩3 —K F103 遗迹  彩4 二区Fl1o04、F10"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","F105","遗迹编号",14,0.7,"103 遗迹  彩4 二区Fl1o04、F105 遗迹 KATE KER KEE  pe"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F103","遗迹编号","钵","ocr",14,0.6,"最 彩2 一区F6 踪迹  彩3 —K F103 遗迹  彩4 二区Fl1o04、F10  PDR."
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F103","遗迹编号","碗","ocr",14,0.6,"最 彩2 一区F6 踪迹  彩3 —K F103 遗迹  彩4 二区Fl1o04、F10  bal "
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F103","遗迹编号","饰","ocr",14,0.6,"最 彩2 一区F6 踪迹  彩3 —K F103 遗迹  彩4 二区Fl1o04、F10  a  陶"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F105","遗迹编号","钵","ocr",14,0.6,"103 遗迹  彩4 二区Fl1o04、F105 遗迹 KATE KER KEE  pe  PDR."
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F105","遗迹编号","碗","ocr",14,0.6,"103 遗迹  彩4 二区Fl1o04、F105 遗迹 KATE KER KEE  pe  bal "
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F105","遗迹编号","饰","ocr",14,0.6,"103 遗迹  彩4 二区Fl1o04、F105 遗迹 KATE KER KEE  pe  a  陶"
"敖汉赵宝沟","REL_SITE_ERA","年代为","敖汉赵宝沟","遗址名称","西周","年代",16,0.5,"山 山脉东段努便儿虎山北划、老哈河以南。西周至战国时为山戒之地，后归敬国。秦代属过 "
"敖汉赵宝沟","REL_SITE_ERA","年代为","敖汉赵宝沟","遗址名称","战国","年代",16,0.5,"脉东段努便儿虎山北划、老哈河以南。西周至战国时为山戒之地，后归敬国。秦代属过 WE,"
"敖汉赵宝沟","REL_STRATIGRAPHY","层位关系","敖汉赵宝沟","遗址名称","堆积","层位关系",16,0.6,"全旗总面积的 34% 。此区的丘间低处 堆积有较厚的冲积一 BERR. IA 10 "
"敖汉赵宝沟","REL_SITE_ERA","年代为","敖汉赵宝沟","遗址名称","红山","年代",18,0.5,"先民生活居住。在赵宝沟聚落遗址 的北面有红山文化遗存，西面有小河沿文化遗存，东南面有"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","H101","遗迹编号",19,0.7,"或 Hs 第二区址迹编号为F101 或 H101。此外，在第二区布两条探沟，分别为3米X"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","G1","遗迹编号",19,0.7,"为3米X7 AL 2X15 米，编号为 G1 AG2, PERG RSH ISI) "
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","H101","遗迹编号","斧","ocr",19,0.6,"或 Hs 第二区址迹编号为F101 或 H101。此外，在第二区布两条探沟，分别为3米X 收集过程中"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","H101","遗迹编号","饰","ocr",19,0.6,"或 Hs 第二区址迹编号为F101 或 H101。此外，在第二区布两条探沟，分别为3米X 同志草绘，"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","G1","遗迹编号","斧","ocr",19,0.6,"为3米X7 AL 2X15 米，编号为 G1 AG2, PERG RSH ISI)  收集过程中付出"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","G1","遗迹编号","饰","ocr",19,0.6,"为3米X7 AL 2X15 米，编号为 G1 AG2, PERG RSH ISI)  同志草绘， 经"
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","H101","遗迹编号","房址","遗迹类型",19,0.65," 9 万平方米。  聚落遗址表面依稀可见房址的灰土堆积被酸坏后 残存下来的灰土图。 "
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","H101","遗迹编号","灰坑","遗迹类型",19,0.65," 然冲沟所破坏，仅存 6 座房址和1 个灰坑。分为两排， 呈西北一东南走向。第-区显"
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","H101","遗迹编号","灶址","遗迹类型",19,0.65,"2000 平方米。共清理房址 17 座、灶址1 个、灰坑5 个、右头堆和遗迹一处，获"
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","G1","遗迹编号","房址","遗迹类型",19,0.65," 9 万平方米。  聚落遗址表面依稀可见房址的灰土堆积被酸坏后 残存下来的灰土图。 "
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","G1","遗迹编号","灰坑","遗迹类型",19,0.65," 然冲沟所破坏，仅存 6 座房址和1 个灰坑。分为两排， 呈西北一东南走向。第-区显"
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","G1","遗迹编号","灶址","遗迹类型",19,0.65,"2000 平方米。共清理房址 17 座、灶址1 个、灰坑5 个、右头堆和遗迹一处，获"
"敖汉赵宝沟","REL_MEASUREMENT","测量为","H101","遗迹编号","3米","测量数据",19,0.55,"101。此外，在第二区布两条探沟，分别为3米X7 AL 2X15 米，编号为 G1 "
"敖汉赵宝沟","REL_MEASUREMENT","测量为","H101","遗迹编号","15 米","测量数据",19,0.55,"区布两条探沟，分别为3米X7 AL 2X15 米，编号为 G1 AG2, PERG RS"
"敖汉赵宝沟","REL_MEASUREMENT","测量为","G1","遗迹编号","3米","测量数据",19,0.55,"101。此外，在第二区布两条探沟，分别为3米X7 AL 2X15 米，编号为 G1 "
"敖汉赵宝沟","REL_MEASUREMENT","测量为","G1","遗迹编号","15 米","测量数据",19,0.55,"区布两条探沟，分别为3米X7 AL 2X15 米，编号为 G1 AG2, PERG RS"
"敖汉赵宝沟","REL_STRATIGRAPHY","层位关系","敖汉赵宝沟","遗址名称","堆积","层位关系",19,0.6,"方米。  聚落遗址表面依稀可见房址的灰土堆积被酸坏后 残存下来的灰土图。 每个灰土加"
"敖汉赵宝沟","REL_STRATIGRAPHY","层位关系","敖汉赵宝沟","遗址名称","开口于","层位关系",19,0.6,"址均章破坏。 赵宝沟聚落的所有遗迹均直接开口于表土层下，尚未见与其他考 古学文化有竹压"
"敖汉赵宝沟","REL_STRATIGRAPHY","层位关系","敖汉赵宝沟","遗址名称","打破","层位关系",19,0.6,"土层下，尚未见与其他考 古学文化有竹压或打破关系，文化内涵比较单纯。  发据的主要收"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","F10","遗迹编号",21,0.7,"中第一区房址有 12 座。 编号为F1~F10，F13~ Fl4; 第二区房址有6 座"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","F13","遗迹编号",21,0.7,"房址有 12 座。 编号为F1~F10，F13~ Fl4; 第二区房址有6 座，编号为"
"敖汉赵宝沟","REL_SITE_CONTAINS","包含","敖汉赵宝沟","遗址名称","F1","遗迹编号",21,0.7,"述如下。  一、第一区房址形制和遗物  F1  1 遗迹  Fl 位于聚落中部。 地"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F10","遗迹编号","钵","ocr",21,0.6,"中第一区房址有 12 座。 编号为F1~F10，F13~ Fl4; 第二区房址有6 座  4. HE"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F10","遗迹编号","饰","ocr",21,0.6,"中第一区房址有 12 座。 编号为F1~F10，F13~ Fl4; 第二区房址有6 座  上部残, "
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F13","遗迹编号","钵","ocr",21,0.6,"房址有 12 座。 编号为F1~F10，F13~ Fl4; 第二区房址有6 座，编号为  4. HE"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F13","遗迹编号","饰","ocr",21,0.6,"房址有 12 座。 编号为F1~F10，F13~ Fl4; 第二区房址有6 座，编号为  上部残, "
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F1","遗迹编号","钵","ocr",21,0.6,"述如下。  一、第一区房址形制和遗物  F1  1 遗迹  Fl 位于聚落中部。 地  4. HEH"
"敖汉赵宝沟","REL_UNIT_EXCAVATES","出土","F1","遗迹编号","饰","ocr",21,0.6,"述如下。  一、第一区房址形制和遗物  F1  1 遗迹  Fl 位于聚落中部。 地  上部残, F"
"敖汉赵宝沟","REL_UNIT_TYPE","类型为","F10","遗迹编号","灰坑","遗迹类型",21,0.65,"述  赵宝沟聚落遗址清理的遗存只有房直和灰坑。本章按单位逐一详细介绍房址、灰坑的 形"
"新疆考古发掘报告","REL_SITE_ERA","年代为","新疆考古发掘报告","遗址名称","新石器时代","年代",5,0.5,"在哈密、伊犁、需书、库车地区发掘和调查的新石器时代晚期遗址，金石并用时期的莫芋，  晋至元"
"新疆考古发掘报告","REL_SITE_CONTAINS","包含","新疆考古发掘报告","遗址名称","T3","遗迹编号",17,0.7,"B05 厘米。  日治部残片1666 (T3@ ) (CARH, 10) ”古城T3"
"新疆考古发掘报告","REL_SITE_CONTAINS","包含","新疆考古发掘报告","遗址名称","M1","遗迹编号",17,0.7,"                 :  M1 FESR PR RA Ate. EAT"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","T3","遗迹编号","杯","ocr",17,0.6,"B05 厘米。  日治部残片1666 (T3@ ) (CARH, 10) ”古城T3 朱红色陶衣。慢"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","T3","遗迹编号","盘","ocr",17,0.6,"B05 厘米。  日治部残片1666 (T3@ ) (CARH, 10) ”古城T3 略向外你，颈肩"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","T3","遗迹编号","钵","ocr",17,0.6,"B05 厘米。  日治部残片1666 (T3@ ) (CARH, 10) ”古城T3 。手制，刊磨光"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","T3","遗迹编号","饰","ocr",17,0.6,"B05 厘米。  日治部残片1666 (T3@ ) (CARH, 10) ”古城T3 四道下露出墨点"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M1","遗迹编号","杯","ocr",17,0.6,"                 :  M1 FESR PR RA Ate. EAT 朱红色陶衣。慢"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M1","遗迹编号","盘","ocr",17,0.6,"                 :  M1 FESR PR RA Ate. EAT 略向外你，颈肩"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M1","遗迹编号","钵","ocr",17,0.6,"                 :  M1 FESR PR RA Ate. EAT 。手制，刊磨光"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M1","遗迹编号","饰","ocr",17,0.6,"                 :  M1 FESR PR RA Ate. EAT 四道下露出墨点"
"新疆考古发掘报告","REL_UNIT_TYPE","类型为","T3","遗迹编号","房址","遗迹类型",17,0.65," 我们来此工作是一九五八年的夏天，在城南房址清理完后，即着手发所此地幕苦。. 幕莫编"
"新疆考古发掘报告","REL_UNIT_TYPE","类型为","T3","遗迹编号","墓葬","遗迹类型",17,0.65,"幕匡是较多的。蔓匡结构非常简单，有一部分墓葬是用土坯垒砌的， 大体 作 长方 形，比"
"新疆考古发掘报告","REL_UNIT_TYPE","类型为","M1","遗迹编号","房址","遗迹类型",17,0.65," 我们来此工作是一九五八年的夏天，在城南房址清理完后，即着手发所此地幕苦。. 幕莫编"
"新疆考古发掘报告","REL_UNIT_TYPE","类型为","M1","遗迹编号","墓葬","遗迹类型",17,0.65,"幕匡是较多的。蔓匡结构非常简单，有一部分墓葬是用土坯垒砌的， 大体 作 长方 形，比"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","T3","遗迹编号","0.5厘米","测量数据",17,0.55,"，无法知其纹饰全瑶。陶片长4.,.5、厚0.5厘米。  口部残片1654〈采) 《〈图版三"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","T3","遗迹编号","05
厘米","测量数据",17,0.55,", CHMRAN. RMHKI.2. B05 厘米。  日治部残片1666 (T3@ ) "
"新疆考古发掘报告","REL_MEASUREMENT","测量为","T3","遗迹编号","0.7厘米","测量数据",17,0.55,"麻光平。口沿下绘连续交叉三角纹。长4、厚0.7厘米。  腹部残片1654〈采) 【图版三，"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","T3","遗迹编号","200米","测量数据",17,0.55,"米。  (=) B#  在古城外的东北面200米、西北面100米左右，有南北向的两支黄土"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","T3","遗迹编号","100米","测量数据",17,0.55,"B#  在古城外的东北面200米、西北面100米左右，有南北向的两支黄土岗夹峙古城。土 "
"新疆考古发掘报告","REL_MEASUREMENT","测量为","T3","遗迹编号","15厘米","测量数据",17,0.55,"幕芋(图 一) 。土岗上面是一层砂砾，厚15厘米，可能是近代堆积物。往下是黄土层，厚约3"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","T3","遗迹编号","40厘米","测量数据",17,0.55,"〈因幕壁不明显，很难确定其范围》 ，深约40厘米。骨架全被扰乱，不  完整，清理时仅见上"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M1","遗迹编号","0.5厘米","测量数据",17,0.55,"，无法知其纹饰全瑶。陶片长4.,.5、厚0.5厘米。  口部残片1654〈采) 《〈图版三"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M1","遗迹编号","05
厘米","测量数据",17,0.55,", CHMRAN. RMHKI.2. B05 厘米。  日治部残片1666 (T3@ ) "
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M1","遗迹编号","0.7厘米","测量数据",17,0.55,"麻光平。口沿下绘连续交叉三角纹。长4、厚0.7厘米。  腹部残片1654〈采) 【图版三，"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M1","遗迹编号","200米","测量数据",17,0.55,"米。  (=) B#  在古城外的东北面200米、西北面100米左右，有南北向的两支黄土"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M1","遗迹编号","100米","测量数据",17,0.55,"B#  在古城外的东北面200米、西北面100米左右，有南北向的两支黄土岗夹峙古城。土 "
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M1","遗迹编号","15厘米","测量数据",17,0.55,"幕芋(图 一) 。土岗上面是一层砂砾，厚15厘米，可能是近代堆积物。往下是黄土层，厚约3"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M1","遗迹编号","40厘米","测量数据",17,0.55,"〈因幕壁不明显，很难确定其范围》 ，深约40厘米。骨架全被扰乱，不  完整，清理时仅见上"
"新疆考古发掘报告","REL_STRATIGRAPHY","层位关系","新疆考古发掘报告","遗址名称","堆积","层位关系",17,0.6,"岗上面是一层砂砾，厚15厘米，可能是近代堆积物。往下是黄土层，厚约30厘 米，所有幕"
"新疆考古发掘报告","REL_SITE_CONTAINS","包含","新疆考古发掘报告","遗址名称","M7","遗迹编号",18,0.7,"         狗四“MI10乎面图 M7:， 1.长木棒 2.小淘储M9，1.小"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M7","遗迹编号","木梳","ocr",18,0.6,"         狗四“MI10乎面图 M7:， 1.长木棒 2.小淘储M9，1.小 第 一章了哈密"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M7","遗迹编号","陶碗","ocr",18,0.6,"         狗四“MI10乎面图 M7:， 1.长木棒 2.小淘储M9，1.小 架散置于幕坑。"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M7","遗迹编号","饰","ocr",18,0.6,"         狗四“MI10乎面图 M7:， 1.长木棒 2.小淘储M9，1.小  褐色，人骨架"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M7","遗迹编号","铜饰","ocr",18,0.6,"         狗四“MI10乎面图 M7:， 1.长木棒 2.小淘储M9，1.小 散置。随葛品在"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M7","遗迹编号","骨饰","ocr",18,0.6,"         狗四“MI10乎面图 M7:， 1.长木棒 2.小淘储M9，1.小 二 褐色，人骨"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M7","遗迹编号","骨锥","ocr",18,0.6,"         狗四“MI10乎面图 M7:， 1.长木棒 2.小淘储M9，1.小 为砂石子和黄 "
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","20米","测量数据",18,0.55,"清楚。  M3一5在M2之南，与MI相距20米左右，墓壁不明显，募底距地 表 10 一"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","15 厘米","测量数据",18,0.55,"左右，墓壁不明显，募底距地 表 10 一15 厘米 左 右。募内上部为黄褐色沙士，下为一些"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","14米","测量数据",18,0.55," M10一12三莫聚在一起，位于M9之南14米左右。M10有ab两幕室并联，均虽长方 "
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","30厘米","测量数据",18,0.55,"长方 形，摹壁残存二层土坯。莫日距地表约30厘米，深16厘米，长约2米，宽1米左右。填二"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","深16厘米","测量数据",18,0.55,"摹壁残存二层土坯。莫日距地表约30厘米，深16厘米，长约2米，宽1米左右。填二 褐色，人骨"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","2米","测量数据",18,0.55,"。莫日距地表约30厘米，深16厘米，长约2米，宽1米左右。填二 褐色，人骨架零碎散置"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","宽1米","测量数据",18,0.55,"距地表约30厘米，深16厘米，长约2米，宽1米左右。填二 褐色，人骨架零碎散置。随葛品"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","
2.7米","测量数据",18,0.55,"呈长方形，幕壁残存二层土坯。a室长4、实 2.7米;室内长2.9、宽1.5米。b室南面不见"
"新疆考古发掘报告","REL_MEASUREMENT","测量为","M7","遗迹编号","宽1.5米","测量数据",18,0.55,"。a室长4、实 2.7米;室内长2.9、宽1.5米。b室南面不见土未，比a室略深。 MI1"
"新疆考古发掘报告","REL_STRATIGRAPHY","层位关系","新疆考古发掘报告","遗址名称","堆积","层位关系",18,0.6,"在Ml北约20步，位于西土岗的北端。地表堆积着高低不平的砂磺， KMS 几块零凰人骨"
"新疆考古发掘报告","REL_SITE_CONTAINS","包含","新疆考古发掘报告","遗址名称","M2","遗迹编号",20,0.7,"陶器:  双耳能1671 (M2) 〈图版二，1) “M2出土。夹砂红陶"
"新疆考古发掘报告","REL_SITE_CONTAINS","包含","新疆考古发掘报告","遗址名称","M1","遗迹编号",20,0.7,"厚0.4悍米。  单耳小陶欠1668 (M1) 《〈图版二，3) “MI1出土。夹砂"
"新疆考古发掘报告","REL_UNIT_EXCAVATES","出土","M2","遗迹编号","玉饰","ocr",20,0.6,"陶器:  双耳能1671 (M2) 〈图版二，1) “M2出土。夹砂红陶 .钢饰 8:环形铜饰 7."
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","S00","遗迹编号",7,0.7,"ONS EOE OOS BOP O54 S00 FHS HOS COe EE SEP "
"昌都卡若","REL_UNIT_EXCAVATES","出土","S00","遗迹编号","环","ocr",7,0.6,"ONS EOE OOS BOP O54 S00 FHS HOS COe EE SEP  第一章“”自"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","T102","遗迹编号",9,0.7," | [|  ESLER EES Fs T102 44 sue  插 图 目录  图 c"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F226","遗迹编号",9,0.7," sue cus Fey. filmi F226 4o JEL AS FR LR] co"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F12","遗迹编号",10,0.7,"…… 要自 本自  和  ay  FO.F12, P30 kee eH Ae. Him"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","P30","遗迹编号",10,0.7," 本自  和  ay  FO.F12, P30 kee eH Ae. Him  F12"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F22","遗迹编号",10,0.7,"0复原示意图  F15复原示意图.ee F22。29平、谢面图pe ee ee ee "
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F19","遗迹编号",12,0.7,"版二“”圆石台 CTAIL) 和房屋 (F19) 遗迹 图版三 Fi4. F173 y"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F173","遗迹编号",12,0.7,"屋 (F19) 遗迹 图版三 Fi4. F173 yk  图版四 F4、F17遗迹  图"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F4","遗迹编号",12,0.7,"三 Fi4. F173 yk  图版四 F4、F17遗迹  图版五 石墙人Q3) 和"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F8","遗迹编号",12,0.7,"遗迹  图版五 石墙人Q3) 和房屋 (F8) 遗迹  图版六 F9、F8遗迹  图"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F9","遗迹编号",12,0.7,"3) 和房屋 (F8) 遗迹  图版六 F9、F8遗迹  图版七 F9遗迹  图版八"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F30","遗迹编号",12,0.7,"遗迹  图版八 _F15遗迹  图版九 F30、F12遗迹  图版一〇FF12、T30"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F6","遗迹编号",12,0.7,"版一二 F5遗迹  图版一三 _F20、F6 、F14的柱洞遗迹  图版一四 thh"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","F20","遗迹编号",12,0.7,"版一六 圆形台面 (MI2) 和房屋 (F20) 遗迹 图版一七”圆形台面 (MIL一"
"昌都卡若","REL_SITE_CONTAINS","包含","昌都卡若","遗址名称","L2","遗迹编号",12,0.7,"L一4)  图版一八，红烧士块及道路 〈L2)  图版一九“圆石圈(QU01) Fl"
"昌都卡若","REL_UNIT_TYPE","类型为","F19","遗迹编号","灶址","遗迹类型",12,0.65," thhk (Z)  图版一五 F12内灶址  图版一六 圆形台面 (MI2) 和房"
"昌都卡若","REL_UNIT_TYPE","类型为","F173","遗迹编号","灶址","遗迹类型",12,0.65," thhk (Z)  图版一五 F12内灶址  图版一六 圆形台面 (MI2) 和房"
"昌都卡若","REL_UNIT_TYPE","类型为","F4","遗迹编号","灶址","遗迹类型",12,0.65," thhk (Z)  图版一五 F12内灶址  图版一六 圆形台面 (MI2) 和房"
"昌都卡若","REL_UNIT_TYPE","类型为","F8","遗迹编号","灶址","遗迹类型",12,0.65," thhk (Z)  图版一五 F12内灶址  图版一六 圆形台面 (MI2) 和房"
"昌都卡若","REL_UNIT_TYPE","类型为","F9","遗迹编号","灶址","遗迹类型",12,0.65," thhk (Z)  图版一五 F12内灶址  图版一六 圆形台面 (MI2) 和房"
"昌都卡若","REL_UNIT_TYPE","类型为","F30","遗迹编号","灶址","遗迹类型",12,0.65," thhk (Z)  图版一五 F12内灶址  图版一六 圆形台面 (MI2) 和房"
