遗址名称,关系类型,关系名称,主体,主体类型,客体,客体类型,页码,置信度,上下文
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号"," 300 米","测量数据",12,0.55,"环境与鄂西和鄂东的遗址不大相同,是在海拔 300 米以下的山区中。东、 南北三面是海拔 40"
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号","50 米","测量数据",12,0.55,"下的山区中。东、 南北三面是海拔 40一50 米的或聚或散的小丘陵,西南地势较平坦,青木"
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号"," 750 米","测量数据",12,0.55,"自遗址的北部环绕而南, 到届家岭村西南约 750 米汇合。 两 河之间的地形作则圆形,东 ,"
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号","51 米","测量数据",12,0.55,"550, BY 1930, 海拔 43一51 米的不规则的栅圆形岗地。在这岗地上,发现有"
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号"," 10 米","测量数据",12,0.55,"届家岭村的西部渠道经过的地方开了 2 X 10 米的探沟|       初步了 解到它的文"
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号"," 70 米","测量数据",12,0.55,"前后历时八个月。发掘地点在屈家 擒村北面 70 米的渠道两旁,序椭圆形岗地的西南面与平坦地"
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号"," 2米","测量数据",12,0.55,"由北而南 顺次序烈，其中大多数均为2 x 2米，仅 T5、178、196、197 为2"
"京山屈家岭","REL_MEASUREMENT","测量为","T5","遗迹编号"," 8米","测量数据",12,0.55,"、196、197 为2 X 10或2 x 8米(图 二)。  本报告的资料,全部为第二"
"京山屈家岭","REL_STRATIGRAPHY","层位关系","京山屈家岭","遗址名称","堆积","层位关系",12,0.6,"     初步了 解到它的文化内涵及地层堆积情况,看出遗址的文化遗物属于新的文化系统"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T191:2","遗迹编号",57,0.7,"京山 wh 家 &  T191:2(39)、T161:2(5)，多身短而较"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T161:2","遗迹编号",57,0.7," wh 家 &  T191:2(39)、T161:2(5)，多身短而较半(图 56GC(41"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T195:1","遗迹编号",57,0.7,"三角形, 24 件。形似槐叶的 3 件,T195:1(1) DR, Rel, MIEKA A"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T120:3","遗迹编号",57,0.7,"l, MIEKA A 三二, 11)。 T120:3(26) 较厚,后端剖面作属平三角形; "
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T84:2","遗迹编号",57,0.7,"(26) 较厚,后端剖面作属平三角形; T84:2(17) 后端为三角形, BE BSE "
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T197:4","遗迹编号",57,0.7,"RABI, 9). TASHA 1 件，T197:4(6) 细长,尾端呈雏形(图 PRA, "
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T69:3","遗迹编号",57,0.7,"URE 12 件: T191:2(8)、T69:3(9)、T158:2(8)，中部剖面旦弧"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T158:2","遗迹编号",57,0.7," T191:2(8)、T69:3(9)、T158:2(8)，中部剖面旦弧面 = aie SE"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T105:4","遗迹编号",57,0.7,"SEA BHR (=X, 12一14)。T105:4(10)、T85:5(13)、T116:"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T85:5","遗迹编号",57,0.7,", 12一14)。T105:4(10)、T85:5(13)、T116:3(26), 剖面 "
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T116:3","遗迹编号",57,0.7,"105:4(10)、T85:5(13)、T116:3(26), 剖面 HAWES Ae (图"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T158:3","遗迹编号",57,0.7,"面形,2件。横断面旺长条形,体较注无知。T158:3(18)形似槐叶, 级成三 角形 (图三"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T121","遗迹编号",57,0.7,"ICH, int SW wee fy. T121:2B, 2J, 2C(15) 尖 eT"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T173:1","遗迹编号",57,0.7,"Pi AF bie (URC, 16)。T173:1(1) 器形规整(图    5215 图"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T158","遗迹编号",57,0.7,"   5215 图版 BUH, 19)。T158:3A(32) 身较肥 (PAAR RU"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T159","遗迹编号",57,0.7,"较肥 (PAAR RUBY, 18)。 T159:3A(1)身较长， HHS, 19; "
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T129","遗迹编号",57,0.7,"HHS, 19; Paha, 14). T129:2C(1) MA MSHBIE 〈图三"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T23:3","遗迹编号",57,0.7,"图三二，20; ARABI, 12). T23:3,3E(1) 中部以下残缺 (图三二, "
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T165:3","遗迹编号",57,0.7,"另有陶链 3 件。属平面形。陶胎橙黄色。T165:3(16) 剖面长条形。T120:2, 2"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T120:2","遗迹编号",57,0.7,"黄色。T165:3(16) 剖面长条形。T120:2, 2B(1) 刃面宽(图三二, 18;"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T23","遗迹编号",57,0.7,"”是最多的一种。可分四式:  13k; T23:3A(1) 玉质,色黄褐,一面刃(图版"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T93:4","遗迹编号",57,0.7,"玉质,色黄褐,一面刃(图版不坎, 2)。T93:4(8) 长方形,一面刃 《图三三,10;"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T102","遗迹编号",57,0.7,"面刃 《图三三,10; 图版起玖,6)。T102:2B(3) 长方形,对称刃(图三三, "
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T108:4","遗迹编号",57,0.7,"; AMMA, 1)。  sk: 2件。T108:4(22) UKTI, MR, DE, T"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T125","遗迹编号",57,0.7,"4(22) UKTI, MR, DE, T125:5B(1) bie, PAR, 面很短"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T72:3","遗迹编号",57,0.7,"AA, 24, 25)0  II 式: T72:3(1) 方柱形,对称刃口近平。T136:"
"京山屈家岭","REL_SITE_CONTAINS","包含","京山屈家岭","遗址名称","T136:3","遗迹编号",57,0.7,"T72:3(1) 方柱形,对称刃口近平。T136:3(12) 厚略大于宽的方柱形, Dat "
"偃师二里头","REL_SITE_CONTAINS","包含","偃师二里头","遗址名称","K878","遗迹编号",4,0.7,"亚.夏文化(考古)-河南-优师 WV .K878 中国版本图书馆 CIP 数据核字(19"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",4,0.5,"骨和角器.十器等文化遗物。在结语部分,就二里头文化的渊源、 类型 .性质,去向和二里头遗址"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","夏代","年代",4,0.5,""社会科学重点科研项目 ,对研究夏文化.夏代历史、国家起源 .早期都城、宫 殿建筑."
"偃师二里头","REL_UNIT_TYPE","类型为","K878","遗迹编号","基址","遗迹类型",4,0.65,"文化上下层阶段的遗存,包括一号和二号宫殿基址、一般居住遗迹、幕 苦,以及青铜器、玉器"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",5,0.5,"有不同的见解，这本报告的出版，对于全 究二里头文化必将起到重要的促进作用。  一一中国社会"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","夏代","年代",5,0.5,"提出二里头遗址 (1 HI~3 期) 为夏代之都域，4 期则为夏被商灭以后的文化遗存"
"偃师二里头","REL_STRATIGRAPHY","层位关系","偃师二里头","遗址名称","夯土","层位关系",5,0.6,"取得很多重要的发现，如第一号、第二号大型夯土宫殿基址，确立了二里头 文化的分期等等。"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",6,0.5,"日 OR  第一节 ”二里头文化遗址的发现与分布情况，和pp(1) 第二"
"偃师二里头","REL_STRATIGRAPHY","层位关系","偃师二里头","遗址名称","堆积","层位关系",6,0.6,"第二章 ”二里头遗址各期文化层的分布 .堆积和文化分期.pe(19) 第一节 — B"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",7,0.5,") 二 随芋器物Ne(70) 第四章 ”二里头文化二期遗存.pp(75) 第一节   和遗"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",8,0.5,"二 随拜器物.(249) Yi    二里头文化四期遗存oooeoeoooooooooo"
"偃师二里头","REL_SITE_ERA","年代为","偃师二里头","遗址名称","二里头文化","年代",9,0.5,"eseneees?®(387) —   二里头文化的渊源问题sabe eee eee n "
"偃师二里头","REL_SITE_CONTAINS","包含","偃师二里头","遗址名称","T24","遗迹编号",10,0.7,"0 西壁地层谢面图ppp(22) TV T24 北壁地层训面图pp(23 ) VT12"
"偃师二里头","REL_SITE_CONTAINS","包含","偃师二里头","遗址名称","D4","遗迹编号",10,0.7,"3 ) VT12B 东辟地层谢面图pe D4) V D2 南 TL 西壁地层剖面图."
"偃师二里头","REL_SITE_CONTAINS","包含","偃师二里头","遗址名称","D2","遗迹编号",10,0.7,"12B 东辟地层谢面图pe D4) V D2 南 TL 西壁地层剖面图.pe(25)"
"偃师二里头","REL_UNIT_EXCAVATES","出土","T24","遗迹编号","饰","ocr",10,0.6,"0 西壁地层谢面图ppp(22) TV T24 北壁地层训面图pp(23 ) VT12 及陶器pe("
"偃师二里头","REL_UNIT_EXCAVATES","出土","D4","遗迹编号","饰","ocr",10,0.6,"3 ) VT12B 东辟地层谢面图pe D4) V D2 南 TL 西壁地层剖面图. 及陶器pe(4"
